scanning 11719921 files with 12 workers
  7040000/11719921  28374 files/s
  7050000/11719921  28385 files/s
  7060000/11719921  28391 files/s
  7070000/11719921  28393 files/s
  7080000/11719921  28365 files/s
  7090000/11719921  28367 files/s
  7100000/11719921  28376 files/s
  7110000/11719921  28386 files/s
  7120000/11719921  28371 files/s
  7130000/11719921  28373 files/s
  7140000/11719921  28360 files/s
  7150000/11719921  28315 files/s
  7160000/11719921  28296 files/s
  7170000/11719921  28298 files/s
  7180000/11719921  28306 files/s
  7190000/11719921  28288 files/s
  7200000/11719921  28294 files/s
  7210000/11719921  28298 files/s
  7220000/11719921  28299 files/s
  7230000/11719921  28275 files/s
  7240000/11719921  28285 files/s
  7250000/11719921  28297 files/s
  7260000/11719921  28310 files/s
  7270000/11719921  28323 files/s
  7280000/11719921  28335 files/s
  7290000/11719921  28339 files/s
  7300000/11719921  28345 files/s
  7310000/11719921  28326 files/s
  7320000/11719921  28327 files/s
  7330000/11719921  28321 files/s
  7340000/11719921  28321 files/s
  7350000/11719921  28325 files/s
  7360000/11719921  28308 files/s
  7370000/11719921  28311 files/s
  7380000/11719921  28314 files/s
  7390000/11719921  28318 files/s
  7400000/11719921  28324 files/s
  7410000/11719921  28307 files/s
  7420000/11719921  28303 files/s
  7430000/11719921  28307 files/s
  7440000/11719921  28313 files/s
  7450000/11719921  28295 files/s
  7460000/11719921  28299 files/s
  7470000/11719921  28302 files/s
  7480000/11719921  28305 files/s
  7490000/11719921  28285 files/s
  7500000/11719921  28296 files/s
  7510000/11719921  28309 files/s
  7520000/11719921  28321 files/s
  7530000/11719921  28334 files/s
  7540000/11719921  28346 files/s
  7550000/11719921  28358 files/s
  7560000/11719921  28363 files/s
  7570000/11719921  28337 files/s
  7580000/11719921  28347 files/s
  7590000/11719921  28334 files/s
  7600000/11719921  28343 files/s
  7610000/11719921  28352 files/s
  7620000/11719921  28361 files/s
  7630000/11719921  28347 files/s
  7640000/11719921  28354 files/s
  7650000/11719921  28366 files/s
  7660000/11719921  28379 files/s
  7670000/11719921  28392 files/s
  7680000/11719921  28393 files/s
  7690000/11719921  28383 files/s
  7700000/11719921  28360 files/s
  7710000/11719921  28367 files/s
  7720000/11719921  28365 files/s
  7730000/11719921  28369 files/s
  7740000/11719921  28372 files/s
  7750000/11719921  28353 files/s
  7760000/11719921  28355 files/s
  7770000/11719921  28362 files/s
  7780000/11719921  28366 files/s
  7790000/11719921  28345 files/s
  7800000/11719921  28349 files/s
  7810000/11719921  28349 files/s
  7820000/11719921  28355 files/s
  7830000/11719921  28364 files/s
  7840000/11719921  28374 files/s
  7850000/11719921  28360 files/s
  7860000/11719921  28360 files/s
  7870000/11719921  28368 files/s
  7880000/11719921  28370 files/s
  7890000/11719921  28372 files/s
  7900000/11719921  28353 files/s
  7910000/11719921  28354 files/s
  7920000/11719921  28354 files/s
  7930000/11719921  28357 files/s
  7940000/11719921  28362 files/s
  7950000/11719921  28343 files/s
  7960000/11719921  28346 files/s
  7970000/11719921  28353 files/s
  7980000/11719921  28364 files/s
  7990000/11719921  28364 files/s
  8000000/11719921  28375 files/s
  8010000/11719921  28385 files/s
  8020000/11719921  28371 files/s
  8030000/11719921  28373 files/s
  8040000/11719921  28375 files/s
  8050000/11719921  28378 files/s
  8060000/11719921  28358 files/s
  8070000/11719921  28362 files/s
  8080000/11719921  28367 files/s
  8090000/11719921  28369 files/s
  8100000/11719921  28356 files/s
  8110000/11719921  28365 files/s
  8120000/11719921  28376 files/s
  8130000/11719921  28385 files/s
  8140000/11719921  28376 files/s
  8150000/11719921  28359 files/s
  8160000/11719921  28363 files/s
  8170000/11719921  28366 files/s
  8180000/11719921  28348 files/s
  8190000/11719921  28352 files/s
  8200000/11719921  28356 files/s
  8210000/11719921  28358 files/s
  8220000/11719921  28339 files/s
  8230000/11719921  28349 files/s
  8240000/11719921  28360 files/s
  8250000/11719921  28348 files/s
  8260000/11719921  28357 files/s
  8270000/11719921  28367 files/s
  8280000/11719921  28340 files/s
  8290000/11719921  28343 files/s
  8300000/11719921  28346 files/s
  8310000/11719921  28353 files/s
  8320000/11719921  28361 files/s
  8330000/11719921  28347 files/s
  8340000/11719921  28349 files/s
  8350000/11719921  28353 files/s
  8360000/11719921  28336 files/s
  8370000/11719921  28343 files/s
  8380000/11719921  28353 files/s
  8390000/11719921  28362 files/s
  8400000/11719921  28337 files/s
  8410000/11719921  28339 files/s
  8420000/11719921  28347 files/s
  8430000/11719921  28340 files/s
  8440000/11719921  28326 files/s
  8450000/11719921  28329 files/s
  8460000/11719921  28331 files/s
  8470000/11719921  28336 files/s
  8480000/11719921  28320 files/s
  8490000/11719921  28319 files/s
  8500000/11719921  28324 files/s
  8510000/11719921  28313 files/s
  8520000/11719921  28324 files/s
  8530000/11719921  28334 files/s
  8540000/11719921  28344 files/s
  8550000/11719921  28326 files/s
  8560000/11719921  28316 files/s
  8570000/11719921  28317 files/s
  8580000/11719921  28323 files/s
  8590000/11719921  28304 files/s
  8600000/11719921  28306 files/s
  8610000/11719921  28307 files/s
  8620000/11719921  28311 files/s
  8630000/11719921  28294 files/s
  8640000/11719921  28297 files/s
  8650000/11719921  28304 files/s
  8660000/11719921  28315 files/s
  8670000/11719921  28326 files/s
  8680000/11719921  28315 files/s
  8690000/11719921  28326 files/s
  8700000/11719921  28329 files/s
  8710000/11719921  28337 files/s
  8720000/11719921  28342 files/s
  8730000/11719921  28344 files/s
  8740000/11719921  28324 files/s
  8750000/11719921  28327 files/s
  8760000/11719921  28324 files/s
